Genre_name,Genre_id
Action,0
Adult,1
Adventure,2
Animation,3
Biography,4
Comedy,5
Crime,6
Drama,7
Family,8
Fantasy,9
Game-Show,10
History,11
Horror,12
Music,13
Musical,14
Mystery,15
News,16
Reality-TV,17
Romance,18
Sci-Fi,19
Sport,20
Talk-Show,21
Thriller,22
War,23
Western,24
